,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,year
208425,170212864,06/22/2017 12:00:00 AM,05/31/2010 12:00:00 AM,1025,2,Rampart,261,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0913 1811 0503 0522,8,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,812,860,,,2700 W  7TH                          ST,,34.0594,-118.2833,2017
208426,170213345,07/05/2017 12:00:00 AM,08/26/2010 12:00:00 AM,900,2,Rampart,251,2,354,THEFT OF IDENTITY,1822,22,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2600    WILSHIRE                     BL,,34.0605,-118.2814,2017
208427,170215571,08/15/2017 12:00:00 AM,08/15/2010 12:00:00 AM,1400,2,Rampart,266,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1257 0558 0522,4,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,812,860,,,1700    JAMES M WOOD                 BL,,34.0531,-118.2738,2017
208428,170216444,08/31/2017 12:00:00 AM,08/01/2010 12:00:00 AM,1300,2,Rampart,201,1,121,"RAPE, FORCIBLE",0913 0400 0500 0522,6,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,812,,,900 N  MARIPOSA                     AV,,34.0869,-118.299,2017
208429,170216454,08/28/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1800,2,Rampart,202,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0506 1259 1258 0913 0514 0528 0543 0545,9,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,4500    WILLOW BROOK                 AV,,34.0897,-118.2893,2017
208430,170221721,12/07/2017 12:00:00 AM,12/31/2010 12:00:00 AM,1200,2,Rampart,212,2,354,THEFT OF IDENTITY,1822,49,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,300 N  JUANITA                      AV,,34.0764,-118.2905,2017
208431,170304851,01/13/2017 12:00:00 AM,12/01/2010 12:00:00 AM,1,3,Southwest,362,2,354,THEFT OF IDENTITY,0930 1822,50,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,4000    GELBER                       PL,,34.0133,-118.3486,2017
208432,170305635,01/25/2017 12:00:00 AM,08/01/2010 12:00:00 AM,1200,3,Southwest,392,2,354,THEFT OF IDENTITY,377,49,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4500 S  VAN NESS                     AV,,33.9993,-118.3244,2017
208433,170308597,03/08/2017 12:00:00 AM,06/18/2010 12:00:00 AM,1000,3,Southwest,363,2,354,THEFT OF IDENTITY,377,26,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,4100    PALMWOOD                     DR,,34.0137,-118.3435,2017
208434,170313031,04/12/2017 12:00:00 AM,06/01/2010 12:00:00 AM,100,3,Southwest,314,2,860,BATTERY WITH SEXUAL CONTACT,0522 1251 1258,7,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,3800 W  27TH                         ST,,34.0312,-118.3262,2017
208435,170314963,06/14/2017 12:00:00 AM,01/01/2010 12:00:00 AM,800,3,Southwest,374,2,354,THEFT OF IDENTITY,1822,35,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3900 S  VAN NESS                     AV,,34.0148,-118.3222,2017
208436,170316100,05/10/2017 12:00:00 AM,01/01/2010 12:00:00 AM,100,3,Southwest,391,2,760,LEWD/LASCIVIOUS ACTS WITH CHILD,1259 1251 1279 1812 0527 0545 0507 0342 2024,7,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,760,,,,4500    DON TIMOTEO                  DR,,34.0055,-118.3546,2017
208437,170318708,07/31/2017 12:00:00 AM,05/01/2010 12:00:00 AM,1500,3,Southwest,356,2,860,BATTERY WITH SEXUAL CONTACT,522,7,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,860,,,,1300    EXPOSITION                   BL,,34.0219,-118.3045,2017
208438,170319049,08/13/2017 12:00:00 AM,07/15/2010 12:00:00 AM,1100,3,Southwest,354,2,354,THEFT OF IDENTITY,0928 1822,28,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2500 W  JEFFERSON                    BL,,34.0256,-118.3224,2017
208439,170322130,09/26/2017 12:00:00 AM,01/01/2010 12:00:00 AM,800,3,Southwest,394,2,354,THEFT OF IDENTITY,0100 1822,46,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4200    2ND                          AV,,34.0073,-118.3193,2017
208440,170322315,09/26/2017 12:00:00 AM,01/01/2010 12:00:00 AM,800,3,Southwest,317,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0448 0505 1817,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,760,812,860,,22ND                         ST,BUDLONG                      AV,34.0364,-118.2964,2017
208441,171811614,05/16/2017 12:00:00 AM,06/10/2010 12:00:00 AM,1200,18,Southeast,1821,2,354,THEFT OF IDENTITY,0928 1822,46,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,600 W  99TH                         ST,,33.9464,-118.2848,2017
208442,170325038,11/08/2017 12:00:00 AM,10/14/2010 12:00:00 AM,1200,3,Southwest,361,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",394,25,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,3800    STEVELY                      AV,,34.0183,-118.3536,2017
208443,170404659,01/12/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,4,Hollenbeck,466,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1257 1251 0556 0522,7,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,100 N  MATHEWS                      ST,,34.0432,-118.2085,2017
208444,170404660,01/12/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,4,Hollenbeck,466,1,820,ORAL COPULATION,1257 1251 0556 0522 0507,7,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,820,,,100 N  MATHEWS                      ST,,34.0432,-118.2085,2017
208445,170405290,01/31/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1,4,Hollenbeck,417,2,354,THEFT OF IDENTITY,100,40,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4400    TURQUOISE                    ST,,34.0813,-118.1937,2017
208446,170413299,07/28/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,4,Hollenbeck,448,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0510 0536 0500,9,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,812,860,,,1500    MURCHISON                    ST,,34.0594,-118.1958,2017
208447,170415029,04/24/2017 12:00:00 AM,01/01/2010 12:00:00 AM,100,4,Hollenbeck,455,1,121,"RAPE, FORCIBLE",,5,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,812,,,500 N  BREED                        ST,,34.0504,-118.2068,2017
208448,170415085,04/24/2017 12:00:00 AM,01/01/2010 12:00:00 AM,100,4,Hollenbeck,455,2,860,BATTERY WITH SEXUAL CONTACT,,8,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,860,,,,500 N  BREED                        ST,,34.0504,-118.2068,2017
208449,170415087,04/24/2017 12:00:00 AM,01/01/2010 12:00:00 AM,100,4,Hollenbeck,455,2,860,BATTERY WITH SEXUAL CONTACT,,13,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,860,,,,500 N  BREED                        ST,,34.0504,-118.2068,2017
208450,170415429,09/12/2017 12:00:00 AM,08/29/2010 12:00:00 AM,1200,4,Hollenbeck,448,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0602 1251 1258 0554 0537 0522,3,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,1500    RICARDO                      ST,,34.0602,-118.198,2017
208451,170416121,09/28/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,4,Hollenbeck,448,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1259 0400 0448,8,F,H,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,2400    LANCASTER                    AV,,34.0592,-118.2,2017
208452,170505161,01/27/2017 12:00:00 AM,12/20/2010 12:00:00 AM,800,5,Harbor,525,1,121,"RAPE, FORCIBLE",0510 0503 0519 0527 0512 0556 1257 1258 1309,5,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,812,,,400 N  FRIES                        AV,,33.7741,-118.2646,2017
208453,170506890,03/05/2017 12:00:00 AM,03/04/2010 12:00:00 AM,2230,5,Harbor,508,1,320,"BURGLARY, ATTEMPTED",1607 1601 0329,27,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,320,,,,23700 S  WESTERN                      AV,,33.8102,-118.3086,2017
208454,170507913,03/26/2017 12:00:00 AM,08/01/2010 12:00:00 AM,1200,5,Harbor,507,1,310,BURGLARY,0344 0358 1607,50,F,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,1400    228TH                        ST,,33.819,-118.3015,2017
208455,170518320,11/01/2017 12:00:00 AM,01/01/2010 12:00:00 AM,600,5,Harbor,551,2,850,INDECENT EXPOSURE,0527 0554 0913 1251 1259,8,F,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,850,,,,300    MIRALESTE                    DR,,33.7423,-118.3196,2017
208456,170604979,01/17/2017 12:00:00 AM,07/22/2010 12:00:00 AM,1,6,Hollywood,659,2,354,THEFT OF IDENTITY,1822,45,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1400 N  KINGSLEY                     DR,,34.0967,-118.3031,2017
208457,170609254,03/25/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1600,6,Hollywood,659,1,820,ORAL COPULATION,0507 0913,5,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,820,,,1300 N  HARVARD                      BL,,34.0951,-118.3044,2017
208458,170616318,07/26/2017 12:00:00 AM,01/01/2010 12:00:00 AM,800,6,Hollywood,628,2,649,DOCUMENT FORGERY / STOLEN FELONY,0923 1822,65,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,649,,,,2200 N  BEACHWOOD                    DR,,34.1101,-118.3215,2017
208459,170620318,09/26/2017 12:00:00 AM,06/01/2010 12:00:00 AM,1,6,Hollywood,631,1,121,"RAPE, FORCIBLE",1813 1814 2000 1821 0500 0527 2104 0400,35,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,9200    CORDELL                      DR,,34.0944,-118.3922,2017
208460,170624558,11/22/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1,6,Hollywood,645,1,121,"RAPE, FORCIBLE",0500 0510 0537 0527,32,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,1700 N  HIGHLAND                     AV,,34.1006,-118.3417,2017
208461,170624643,11/30/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1,6,Hollywood,666,2,354,THEFT OF IDENTITY,1822,44,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6400    FOUNTAIN                     AV,,34.0944,-118.3288,2017
208462,170624926,11/30/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,6,Hollywood,679,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),522,5,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,,,,1000 N  ARDMORE                      AV,,34.0885,-118.3019,2017
208463,170700873,08/29/2017 12:00:00 AM,12/31/2010 12:00:00 AM,1500,7,Wilshire,765,2,946,OTHER MISCELLANEOUS CRIME,0500 1501,-6,M,W,726,POLICE FACILITY,,,AA,Adult Arrest,946,,,,4800    VENICE                       BL,,34.0496,-118.3425,2017
208464,170706522,02/28/2017 12:00:00 AM,07/04/2010 12:00:00 AM,900,7,Wilshire,734,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,42,M,W,120,STORAGE SHED,,,IC,Invest Cont,440,,,,300 S  CURSON                       AV,,34.0697,-118.3552,2017
208465,170711738,06/23/2017 12:00:00 AM,01/01/2010 12:00:00 AM,800,7,Wilshire,773,2,354,THEFT OF IDENTITY,1822,33,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1600 S  RIDGELEY                     DR,,34.0442,-118.3574,2017
208466,170712829,07/18/2017 12:00:00 AM,05/01/2010 12:00:00 AM,800,7,Wilshire,758,2,354,THEFT OF IDENTITY,1501 1822,57,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1200    MUIRFIELD                    RD,,34.0522,-118.3334,2017
208467,170806442,02/24/2017 12:00:00 AM,12/21/2010 12:00:00 AM,1800,8,West LA,853,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1608 1803,47,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,,,,1700    BUTLER                       AV,,34.0436,-118.4503,2017
208468,170807798,03/23/2017 12:00:00 AM,01/01/2010 12:00:00 AM,5,8,West LA,834,2,354,THEFT OF IDENTITY,0100 0930,39,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,10500    KINNARD                      AV,,34.0583,-118.4282,2017
208469,170813534,07/30/2017 12:00:00 AM,07/28/2010 12:00:00 AM,2300,8,West LA,887,1,330,BURGLARY FROM VEHICLE,0344 1216 0385,49,F,W,104,DRIVEWAY,,,IC,Invest Cont,330,,,,2000    ROXBURY                      DR,,34.0475,-118.4013,2017
208470,170817450,10/25/2017 12:00:00 AM,10/24/2010 12:00:00 AM,2100,8,West LA,842,1,510,VEHICLE - STOLEN,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,510,,,,1200    FEDERAL                      AV,,34.0465,-118.4588,2017
208471,170817492,10/25/2017 12:00:00 AM,10/14/2010 12:00:00 AM,1800,8,West LA,841,2,354,THEFT OF IDENTITY,100,32,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1200    MCCLELLAN                    DR,,34.0423,-118.4697,2017
208472,170904307,01/03/2017 12:00:00 AM,06/10/2010 12:00:00 AM,1700,9,Van Nuys,963,2,649,DOCUMENT FORGERY / STOLEN FELONY,0931 1822,45,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649,,,,5100    NOBLE                        AV,,34.163,-118.4618,2017
208473,170905297,01/24/2017 12:00:00 AM,10/27/2010 12:00:00 AM,900,9,Van Nuys,933,2,354,THEFT OF IDENTITY,377,19,F,O,710,OTHER PREMISE,,,IC,Invest Cont,354,,,,14600    SYLVAN                       ST,,34.1847,-118.4509,2017
208474,170906848,02/27/2017 12:00:00 AM,01/01/2010 12:00:00 AM,2010,9,Van Nuys,989,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,40,F,O,710,OTHER PREMISE,,,IC,Invest Cont,341,,,,4400    VENTURA CANYON               AV,,34.1504,-118.4296,2017
208475,170907465,03/10/2017 12:00:00 AM,06/01/2010 12:00:00 AM,900,9,Van Nuys,989,2,354,THEFT OF IDENTITY,0928 1822,37,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,13500    VENTURA                      BL,,34.1474,-118.4271,2017
208476,170912358,06/10/2017 12:00:00 AM,06/09/2010 12:00:00 AM,1840,9,Van Nuys,952,1,510,VEHICLE - STOLEN,,0,,,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,510,,,,5300    SEPULVEDA                    BL,,34.1667,-118.4662,2017
208477,170918525,10/08/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,9,Van Nuys,932,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1259 0515 0504 0913,10,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,812,815,,,6300    KESTER                       AV,,34.1849,-118.4575,2017
208478,170921446,12/01/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1000,9,Van Nuys,923,2,354,THEFT OF IDENTITY,0100 1822 0929,51,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,14600    HAMLIN                       ST,,34.1887,-118.4509,2017
208479,170921927,12/10/2017 12:00:00 AM,12/07/2010 12:00:00 AM,1700,9,Van Nuys,971,1,330,BURGLARY FROM VEHICLE,0344 1607,43,M,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,4600    KESTER                       AV,,34.1564,-118.463,2017
208481,171004090,01/02/2017 12:00:00 AM,04/06/2010 12:00:00 AM,1200,10,West Valley,1019,2,354,THEFT OF IDENTITY,1822 1501,36,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,7500    HASKELL                      AV,,34.2067,-118.4749,2017
208482,171004488,01/11/2017 12:00:00 AM,04/26/2010 12:00:00 AM,1400,10,West Valley,1003,2,354,THEFT OF IDENTITY,0377 1822,23,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,18600    SATICOY                      ST,,34.2148,-118.5404,2017
208483,171008869,04/14/2017 12:00:00 AM,07/10/2010 12:00:00 AM,1200,10,West Valley,1088,2,860,BATTERY WITH SEXUAL CONTACT,0531 0522 0913 1259,9,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,860,,,,4300    HAYVENHURST                  AV,,34.1494,-118.495,2017
208484,171012349,05/25/2017 12:00:00 AM,08/01/2010 12:00:00 AM,1,10,West Valley,1033,2,813,CHILD ANNOYING (17YRS & UNDER),1259 0522,7,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,813,,,,6500    RESEDA                       BL,,34.1847,-118.5441,2017
208485,171014182,08/09/2017 12:00:00 AM,08/09/2010 12:00:00 AM,930,10,West Valley,1075,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 1420 0356,38,M,O,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,17800    VENTURA                      BL,,34.1629,-118.5202,2017
208486,171016399,09/25/2017 12:00:00 AM,09/22/2010 12:00:00 AM,1200,10,West Valley,1023,2,813,CHILD ANNOYING (17YRS & UNDER),0359 0536 1810 1501 1258,6,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,813,,,,7000    BECKFORD                     AV,,34.1975,-118.5513,2017
208487,171016798,10/05/2017 12:00:00 AM,10/03/2010 12:00:00 AM,1700,10,West Valley,1035,1,330,BURGLARY FROM VEHICLE,0385 1607,13,F,O,101,STREET,,,IC,Invest Cont,330,,,,18400    KITTRIDGE                    ST,,34.1903,-118.5335,2017
208488,171016821,10/06/2017 12:00:00 AM,10/05/2010 12:00:00 AM,2230,10,West Valley,1033,1,310,BURGLARY,0344 1606 0354 1202 1414,63,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,6300    YOLANDA                      AV,,34.1848,-118.5404,2017
208489,171018006,11/02/2017 12:00:00 AM,10/04/2010 12:00:00 AM,1200,10,West Valley,1003,2,354,THEFT OF IDENTITY,1822,37,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,7600    RESEDA                       BL,,34.2148,-118.5404,2017
208490,171018305,11/06/2017 12:00:00 AM,06/01/2010 12:00:00 AM,1200,10,West Valley,1004,2,354,THEFT OF IDENTITY,929,21,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,18300    SATICOY                      ST,,34.2146,-118.5317,2017
208491,171114293,07/28/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,11,Northeast,1177,2,354,THEFT OF IDENTITY,0928 1822,39,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2600    ALICE                        ST,,34.0936,-118.2298,2017
208492,171114887,08/10/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1000,11,Northeast,1124,2,354,THEFT OF IDENTITY,0930 1822,64,M,F,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3000 W  AVENUE 35,,34.1179,-118.2378,2017
208493,171204264,01/04/2017 12:00:00 AM,12/26/2010 12:00:00 AM,1200,12,77th Street,1208,2,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,0943 1501,12,F,W,101,STREET,511,VERBAL THREAT,IC,Invest Cont,822,998,,,FIGUEROA,48TH,33.9992,-118.2827,2017
208494,171209616,03/20/2017 12:00:00 AM,02/01/2010 12:00:00 AM,1,12,77th Street,1235,2,354,THEFT OF IDENTITY,0100 1822,52,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1200 W  59TH                         PL,,33.9867,-118.2958,2017
208495,171211307,04/11/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1100,12,77th Street,1255,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),522,15,F,B,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,75TH                         ST,VERMONT                      AV,33.9719,-118.2918,2017
